ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
BALL STATE UNIVERSITY,MUNCIE,IN,UNITED STATES,2,174603
"BALTIMORE BIOMEDICAL, INC.",BALTIMORE,MD,UNITED STATES,1,96236
BANNER GOOD SAMARITAN MEDICAL CENTER,PHOENIX,AZ,UNITED STATES,1,182172
BAPTIST MEDICAL CENTER,KANSAS CITY,MO,UNITED STATES,1,310716
"BAPTIST MEMORIAL HOSPITAL (MEMPHIS, TN)",MEMPHIS,TN,UNITED STATES,1,130905
BARBARA ANN KARMANOS CANCER INSTITUTE,DETROIT,MI,UNITED STATES,4,2238936
"BARLOW SCIENTIFIC, INC.",OLYMPIA,WA,UNITED STATES,2,484872
BARNARD COLLEGE,NEW YORK,NY,UNITED STATES,3,303351
BARNES-JEWISH HOSPITAL,SAINT LOUIS,MO,UNITED STATES,45,10971666
BARRY UNIVERSITY,MIAMI SHORES,FL,UNITED STATES,4,1509088
BARTLETT MEMORIAL HOSPITAL,JUNEAU,AK,UNITED STATES,1,49298
BASTYR UNIVERSITY,KENMORE,WA,UNITED STATES,2,129512
BATES COLLEGE,LEWISTON,ME,UNITED STATES,1,91011
BATTELLE CENTERS/PUB HLTH RES & EVALUATN,COLUMBUS,WA,UNITED STATES,4,961780
BATTELLE MEMORIAL INSTITUTE,COLUMBUS,OH,UNITED STATES,22,10948347
BATTELLE PACIFIC NORTHWEST LABORATORIES,RICHLAND,WA,UNITED STATES,15,6813747
BAY AREA TUMOR INSTITUTE,OAKLAND,CA,UNITED STATES,1,198089
BAYLOR COLLEGE OF DENTISTRY,DALLAS,TX,UNITED STATES,8,664188
BAYLOR COLLEGE OF MEDICINE,HOUSTON,TX,UNITED STATES,370,89180286
BAYLOR RESEARCH INSTITUTE,DALLAS,TX,UNITED STATES,3,693736
BAYSTATE MEDICAL CENTER,SPRINGFIELD,MA,UNITED STATES,3,396711
BBN PLANET SOUTHEAST REGION,COLLEGE PARK,MD,UNITED STATES,2,268584
"BDM FEDERAL, INC.",ALBUQUERQUE,NM,UNITED STATES,1,499893
"BEHAVIOR AND HEALTH RESEARCH, INC.",ROCKVILLE,MD,UNITED STATES,2,346571
BEIJING MEDICAL UNIVERSITY,BEIJING,,CHINA,1,52000
BELL LABORATORIES,MURRAY HILL,NJ,UNITED STATES,1,67504
"BELLE MEAD RESEARCH, INC.",BELLE MEAD,NJ,UNITED STATES,1,100000
"BELMONT RESEARCH, INC.",CAMBRIDGE,MA,UNITED STATES,6,1105024
"BEN VENUE LABORATORIES, INC.",BEDFORD,OH,UNITED STATES,1,0
BENAROYA RESEARCH INST AT VIRGINIA MASON,SEATTLE,WA,UNITED STATES,13,3359584
"BEND RESEARCH, INC.",BEND,OR,UNITED STATES,5,768355
BENEDICT COLLEGE,COLUMBIA,SC,UNITED STATES,3,971249
"BENEFICIAL DESIGNS, INC.",MINDEN,CA,UNITED STATES,2,475729
BEN-GURION UNIVERSITY OF THE NEGEV,BEER SHEVA,,ISRAEL,1,79367
BENNETT COLLEGE,GREENSBORO,NC,UNITED STATES,3,79022
BERKELEY ANTIBODY COMPANY,RICHMOND,CA,UNITED STATES,2,0
BERMUDA BIOLOGICAL STATION FOR RESEARCH,NEW HYDE PARK,NY,UNITED STATES,1,24987
BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,MA,UNITED STATES,212,45033352
BETH ISRAEL MEDICAL CTR (NEW YORK),NEW YORK,NY,UNITED STATES,5,2855985
BETHUNE-COOKMAN COLLEGE,DAYTONA BEACH,FL,UNITED STATES,1,594220
BETTER HOMES FUND,NEWTON,MA,UNITED STATES,2,728148
BILL WILKERSON HEARING AND SPEECH CENTER,NASHVILLE,TN,UNITED STATES,1,118798
"BINAX, INC.",PORTLAND,ME,UNITED STATES,1,561145
"BIO LOGIC ENGINEERING, INC.",DEXTER,MI,UNITED STATES,1,100000
"BIOANALYTICAL SYSTEMS, INC. (BASI)",WEST LAFAYETTE,IN,UNITED STATES,1,309792
BIOCHEMANALYSIS CORPORATION,CHICAGO,IL,UNITED STATES,1,256564
"BIO-CONCEPT LABORATORIES, INC.",DERRY,NH,UNITED STATES,1,99999
"BIOELASTICS RESEARCH, LTD",BIRMINGHAM,AL,UNITED STATES,2,444691
BIOELECTRIC CORPORATION,PORTLAND,OR,UNITED STATES,3,587840
"BIOERGONOMICS, INC.",WHITE BEAR,MN,UNITED STATES,1,100000
"BIOHYBRID TECHNOLOGIES, INC.",SHREWSBURY,MA,UNITED STATES,1,403429
BIOLINK PARTNERS,WATERTOWN,MA,UNITED STATES,2,563933
BIO-LOGIC SYSTEMS CORPORATION,MUNDELEIN,IL,UNITED STATES,1,98632
BIOLOGICAL ABSTRACTS,PHILADELPHIA,PA,UNITED STATES,2,297000
BIOLOGICAL RESEARCH FACULTY & FACILITY,IJAMSVILLE,MD,UNITED STATES,1,111013
"BIOMATION, LTD",PITTSBURGH,PA,UNITED STATES,1,77184
BIOMECHANICS INSTITUTE,BOSTON,MA,UNITED STATES,1,92780
"BIOMED RESEARCH AND TECHNOLOGIES, INC.",WEXFORD,PA,UNITED STATES,1,98102
BIOMEDICAL DEVELOPMENT CORPORATION,SAN ANTONIO,TX,UNITED STATES,2,200000
"BIOMEDICAL ENTERPRISES, INC.",SAN ANTONIO,TX,UNITED STATES,1,99988
BIOMEDICAL RESEARCH INSTITUTE,ROCKVILLE,MD,UNITED STATES,2,480198
"BIOMEDICAL RESEARCH, INC.",ROCKVILLE,MD,UNITED STATES,7,1564520
BIOMEDISYN CORPORATION,WOODBRIDGE,CT,UNITED STATES,2,196660
BIOMEMBRANE INSTITUTE,SEATTLE,WA,UNITED STATES,1,267403
"BIOMETRIC RESEARCH INSTITUTE, INC.",ARLINGTON,VA,UNITED STATES,1,200000
"BIOMIMESYS, INC.",SAN MATEO,CA,UNITED STATES,1,99591
"BION, INC.",CAMBRIDGE,MA,UNITED STATES,1,99979
BIONETICS CORPORATION,HAMPTON,VA,UNITED STATES,3,1232533
"BIONEXUS PHARMACEUTICALS, INC.",SEATTLE,WA,UNITED STATES,1,100000
BIOPHARMACEUTICAL RESEARCH CONSULTANTS,DEXTER,MI,UNITED STATES,1,113523
"BIOPHYSICA TECHNOLOGIES, INC.",SPARKS,MD,UNITED STATES,1,99995
BIOPHYSICAL SOCIETY,BETHESDA,MD,UNITED STATES,1,114530
